date	palestinian	security	minister	netanyahu	jerusalem	year	state	prime	military	people	president	gaza	west	benjamin	violence	attack	bank	peace	jewish	day	deal	statement	group	wednesday	news	time	home	fire	city	foreign	government	aviv	tel	east	thursday	police	war	media	dead	afp
180216	5	6	3	0	6	4	3	0	3	1	2	0	3	0	3	3	3	0	2	2	0	2	0	4	2	0	1	3	3	0	0	0	0	0	5	6	2	3	0	1	
190216	6	5	0	0	5	6	6	0	2	4	0	1	6	0	6	1	6	6	0	0	0	1	2	0	0	1	0	3	4	0	0	0	0	1	6	6	1	5	6	1	
200216	0	0	0	0	2	2	1	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	3	0	1	2	1	3	1	0	0	3	3	0	1	0	4	0	2	1	
210216	7	7	3	4	9	7	1	3	4	4	0	1	7	3	6	4	7	2	3	3	0	0	3	0	3	7	1	4	5	0	0	1	1	3	1	5	2	2	8	3	
220216	0	2	0	1	1	1	1	0	1	3	0	0	0	0	1	1	0	0	2	0	2	1	1	0	2	1	2	0	0	1	2	0	0	0	0	2	3	1	2	3	
230216	4	1	2	2	3	1	2	2	2	4	0	0	4	2	4	0	4	1	1	4	0	1	3	1	0	0	4	3	1	0	0	4	4	0	0	0	1	0	3	1	
240216	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	
250216	5	2	0	0	1	3	3	0	2	3	3	0	0	0	0	1	0	2	1	2	4	0	1	2	1	1	2	0	1	1	2	0	0	0	2	1	2	2	1	2	
260216	20	11	7	4	8	12	9	7	1	4	11	10	9	2	7	1	9	4	8	12	12	11	6	2	8	5	9	3	7	4	2	0	0	6	8	9	1	7	6	6	
270216	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
280216	1	4	7	7	4	2	7	7	4	6	7	0	0	5	0	4	0	7	3	2	1	4	4	5	4	6	7	5	0	4	0	1	1	0	3	1	3	5	2	6	
290216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010316	20	7	7	0	17	12	0	0	17	7	0	0	17	0	13	4	17	1	8	1	0	4	1	0	9	6	4	10	6	2	1	3	3	5	0	9	2	3	13	5	
020316	1	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	
030316	1	4	1	1	2	1	1	1	0	1	2	0	1	0	1	0	1	1	3	1	1	0	0	1	2	1	2	0	0	0	1	0	0	0	4	3	0	0	1	2	
040316	5	4	3	3	3	1	3	3	2	1	4	0	4	3	4	5	4	3	2	4	0	1	1	0	1	1	1	0	1	0	0	0	0	5	0	2	0	4	5	1	
050316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060316	1	1	3	3	1	1	1	2	2	1	4	1	2	2	1	1	2	1	0	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
070316	0	0	2	4	2	1	1	2	0	1	4	0	2	1	0	0	1	0	1	4	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	
080316	47	40	25	35	45	32	26	23	15	22	45	8	27	22	20	25	26	27	21	28	19	23	18	10	22	24	4	16	19	3	14	29	29	22	4	30	5	22	19	15	
090316	18	32	30	31	38	24	32	26	29	26	43	0	16	24	14	14	9	11	2	17	37	6	8	42	27	16	9	19	11	13	7	16	16	19	1	13	14	20	9	9	
100316	0	2	0	0	1	2	2	0	1	0	1	0	1	0	0	1	0	0	1	0	1	1	1	2	2	0	1	0	0	2	1	0	0	1	0	1	0	0	1	1	
110316	8	10	4	2	10	12	4	4	5	6	2	7	7	2	7	3	7	1	8	8	0	13	5	0	3	4	6	4	11	2	7	0	0	1	2	5	11	9	2	10	
120316	13	8	6	4	7	16	1	4	12	5	1	14	3	4	2	2	4	0	1	2	3	10	6	2	3	1	11	8	7	4	2	0	0	0	1	1	9	1	3	5	
130316	0	10	7	7	7	7	7	6	1	2	4	1	0	6	1	5	0	1	3	2	8	3	2	3	7	1	3	1	2	10	0	0	0	0	2	4	0	2	3	4	
140316	6	8	3	1	10	4	6	0	7	2	4	2	6	0	6	5	6	4	7	1	3	2	0	2	8	1	6	10	5	1	1	0	0	2	0	7	1	3	7	6	
150316	0	5	3	3	4	5	2	2	3	1	5	0	0	2	0	1	0	1	3	1	1	1	1	2	4	2	2	2	0	2	3	0	0	0	0	3	3	0	0	3	
160316	0	1	1	1	0	1	2	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	
170316	8	12	11	11	12	8	14	11	12	10	3	2	4	5	4	7	4	5	12	2	2	7	2	2	4	2	4	1	2	4	5	2	2	3	14	1	9	6	4	5	
180316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
190316	1	1	6	3	5	3	5	3	0	6	3	1	2	3	1	6	1	1	2	0	0	1	6	0	0	0	4	0	0	3	6	0	0	0	0	3	0	6	3	4	
200316	2	4	5	4	5	8	7	4	4	9	4	3	0	4	2	6	0	2	3	6	3	1	5	0	5	2	2	0	7	6	3	5	5	2	0	4	0	2	1	1	
210316	39	44	22	19	32	34	56	21	15	42	57	10	6	17	30	21	5	44	61	30	43	18	47	33	18	29	4	5	17	45	22	23	23	37	0	1	24	9	1	14	
220316	3	6	4	2	3	2	7	3	2	4	8	0	0	1	3	3	0	5	7	3	4	1	5	5	4	4	2	3	3	5	1	2	2	6	0	1	2	2	0	0	
230316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
240316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
250316	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	
