date	Palestinian	Security	Minister	Netanyahu	Jerusalem	Year	State	Prime	Military	People	President	Gaza	West	Benjamin	Violence	Attack	Bank	Peace	Jewish	Day	Deal	Statement	Group	Wednesday	News	Time	Home	Fire	City	Foreign	Government	Aviv	Tel	East	Thursday	Police	War	Media	Dead	Afp
20160218	5	6	3	0	6	4	3	0	3	1	2	0	3	0	3	3	3	0	2	2	0	2	0	4	2	0	1	3	3	0	0	0	0	0	5	6	2	3	0	1	
20160219	6	5	0	0	5	6	6	0	2	4	0	1	6	0	6	1	6	6	0	0	0	1	2	0	0	1	0	3	4	0	0	0	0	1	6	6	1	5	6	1	
20160220	0	0	0	0	2	2	1	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	3	0	1	2	1	3	1	0	0	3	3	0	1	0	4	0	2	1	
20160221	7	7	3	4	9	7	1	3	4	4	0	1	7	3	6	4	7	2	3	3	0	0	3	0	3	7	1	4	5	0	0	1	1	3	1	5	2	2	8	3	
20160222	0	2	0	1	1	1	1	0	1	3	0	0	0	0	1	1	0	0	2	0	2	1	1	0	2	1	2	0	0	1	2	0	0	0	0	2	3	1	2	3	
20160223	4	1	2	2	3	1	2	2	2	4	0	0	4	2	4	0	4	1	1	4	0	1	3	1	0	0	4	3	1	0	0	4	4	0	0	0	1	0	3	1	
20160224	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	
20160225	5	2	0	0	1	3	3	0	2	3	3	0	0	0	0	1	0	2	1	2	4	0	1	2	1	1	2	0	1	1	2	0	0	0	2	1	2	2	1	2	
20160226	20	11	7	4	8	12	9	7	1	4	11	10	9	2	7	1	9	4	8	12	12	11	6	2	8	5	9	3	7	4	2	0	0	6	8	9	1	7	6	6	
20160227	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
20160228	1	4	7	7	4	2	7	7	4	6	7	0	0	5	0	4	0	7	3	2	1	4	4	5	4	6	7	5	0	4	0	1	1	0	3	1	3	5	2	6	
20160229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160301	20	7	7	0	17	12	0	0	17	7	0	0	17	0	13	4	17	1	8	1	0	4	1	0	9	6	4	10	6	2	1	3	3	5	0	9	2	3	13	5	
20160302	1	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	
20160303	1	4	1	1	2	1	1	1	0	1	2	0	1	0	1	0	1	1	3	1	1	0	0	1	2	1	2	0	0	0	1	0	0	0	4	3	0	0	1	2	
20160304	5	4	3	3	3	1	3	3	2	1	4	0	4	3	4	5	4	3	2	4	0	1	1	0	1	1	1	0	1	0	0	0	0	5	0	2	0	4	5	1	
20160305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160306	1	1	3	3	1	1	1	2	2	1	4	1	2	2	1	1	2	1	0	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
20160307	0	0	2	4	2	1	1	2	0	1	4	0	2	1	0	0	1	0	1	4	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	
20160308	47	40	25	35	45	32	26	23	15	22	45	8	27	22	20	25	26	27	21	28	19	23	18	10	22	24	4	16	19	3	14	29	29	22	4	30	5	22	19	15	
20160309	18	32	30	31	38	24	32	26	29	26	43	0	16	24	14	14	9	11	2	17	37	6	8	42	27	16	9	19	11	13	7	16	16	19	1	13	14	20	9	9	
20160310	0	2	0	0	1	2	2	0	1	0	1	0	1	0	0	1	0	0	1	0	1	1	1	2	2	0	1	0	0	2	1	0	0	1	0	1	0	0	1	1	
20160311	8	10	4	2	10	12	4	4	5	6	2	7	7	2	7	3	7	1	8	8	0	13	5	0	3	4	6	4	11	2	7	0	0	1	2	5	11	9	2	10	
20160312	13	8	6	4	7	16	1	4	12	5	1	14	3	4	2	2	4	0	1	2	3	10	6	2	3	1	11	8	7	4	2	0	0	0	1	1	9	1	3	5	
20160313	0	10	7	7	7	7	7	6	1	2	4	1	0	6	1	5	0	1	3	2	8	3	2	3	7	1	3	1	2	10	0	0	0	0	2	4	0	2	3	4	
20160314	6	8	3	1	10	4	6	0	7	2	4	2	6	0	6	5	6	4	7	1	3	2	0	2	8	1	6	10	5	1	1	0	0	2	0	7	1	3	7	6	
20160315	0	5	3	3	4	5	2	2	3	1	5	0	0	2	0	1	0	1	3	1	1	1	1	2	4	2	2	2	0	2	3	0	0	0	0	3	3	0	0	3	
20160316	0	1	1	1	0	1	2	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	
20160317	8	12	11	11	12	8	14	11	12	10	3	2	4	5	4	7	4	5	12	2	2	7	2	2	4	2	4	1	2	4	5	2	2	3	14	1	9	6	4	5	
20160318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160319	1	1	6	3	5	3	5	3	0	6	3	1	2	3	1	6	1	1	2	0	0	1	6	0	0	0	4	0	0	3	6	0	0	0	0	3	0	6	3	4	
20160320	2	4	5	4	5	8	7	4	4	9	4	3	0	4	2	6	0	2	3	6	3	1	5	0	5	2	2	0	7	6	3	5	5	2	0	4	0	2	1	1	
20160321	39	44	22	19	32	34	56	21	15	42	57	10	6	17	30	21	5	44	61	30	43	18	47	33	18	29	4	5	17	45	22	23	23	37	0	1	24	9	1	14	
20160322	3	6	4	2	3	2	7	3	2	4	8	0	0	1	3	3	0	5	7	3	4	1	5	5	4	4	2	3	3	5	1	2	2	6	0	1	2	2	0	0	
20160323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160325	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	
20160326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160404	2	2	0	0	2	2	0	0	1	0	0	0	2	0	1	2	2	0	0	0	0	1	0	0	0	0	2	2	2	0	0	0	0	1	0	1	0	0	1	0	
20160405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160409	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	
20160410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160412	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	
20160413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160501	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	
20160502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160503	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160504	3	3	3	3	0	1	2	3	3	1	1	3	0	2	3	1	0	2	4	6	1	4	3	5	2	0	1	3	2	0	0	1	1	2	1	1	3	1	0	3	
20160505	52	42	34	29	16	29	15	30	54	26	4	61	6	27	39	28	6	12	20	49	5	31	27	38	18	15	16	42	30	5	12	4	4	18	56	6	44	22	16	19	
20160506	12	9	9	8	2	9	5	8	11	6	0	14	0	8	8	7	0	1	3	11	0	10	4	8	2	4	9	13	7	0	2	1	1	5	13	0	12	9	7	5	
20160507	4	2	3	0	1	3	4	1	4	4	0	4	0	0	2	3	0	2	3	5	0	3	4	2	0	2	2	4	3	1	5	0	0	2	5	0	3	2	2	5	
20160508	0	1	1	0	0	1	0	1	0	3	1	0	0	0	0	0	0	0	3	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	
20160509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160516	2	2	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	
20160517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160519	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	2	2	0	2	0	0	0	0	0	
20160520	23	19	41	41	25	8	23	38	21	0	16	4	17	38	11	2	17	20	22	2	13	15	3	5	9	18	17	3	5	35	35	16	16	4	17	0	9	3	7	5	
20160521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160522	1	1	2	2	4	2	2	1	0	1	2	2	0	1	0	0	0	2	2	0	1	4	0	0	1	0	2	1	3	5	4	0	0	1	0	0	0	0	0	0	
20160523	3	0	4	4	2	0	3	4	0	0	3	0	2	4	0	2	2	4	2	2	2	0	0	0	0	2	0	0	0	2	3	0	0	2	0	0	0	0	0	3	
20160524	3	2	0	0	1	2	0	0	4	0	0	2	4	0	1	1	4	0	0	0	0	1	4	4	1	1	0	0	1	1	0	1	1	0	0	4	1	0	0	2	
